"id","district_id","locale","created_at","updated_at","name"
523,523,"da","2018-08-29 12:31:59.263808","2018-08-29 12:31:59.263808","AR - Fiambala"
55,55,"da","2017-03-01 11:05:24.085832","2018-08-29 11:49:41.487188","DE - Mosel"
637,637,"da","2018-08-30 08:08:57.018247","2018-08-30 08:08:57.018247","HR - Dalmatinska Zagora"
644,644,"da","2018-09-19 16:25:06.672143","2018-09-19 16:25:06.672143","JP - Japan"
649,649,"da","2018-09-20 13:22:35.783012","2018-09-20 13:22:35.783012","US - Idaho"
36,36,"da","2017-03-01 11:05:23.535328","2018-08-29 11:24:11.168418","FR - Alsace"
1,1,"da","2017-03-01 11:05:22.548058","2018-08-29 11:24:24.085553","FR - Champagne"
425,425,"da","2017-11-30 12:54:02.549575","2018-08-29 11:26:44.904714","ZA - Western Cape"
101,101,"da","2017-03-01 11:05:25.524908","2018-08-29 11:28:05.687393","AU - South Australia"
9,9,"da","2017-03-01 11:05:22.905749","2018-08-29 11:29:36.815787","IT - Veneto"
653,653,"da","2018-09-21 15:10:21.229107","2018-09-21 15:10:28.807122","MK - Macedonia"
658,658,"da","2018-09-24 13:52:27.058949","2018-09-24 13:52:27.058949","GE - Alazani Valley"
538,538,"da","2018-08-29 12:57:51.645098","2018-09-24 14:38:35.582894","AU - New South Wales"
663,663,"da","2018-12-30 17:03:00.311891","2018-12-30 17:03:00.311891","GR - Sitia"
35,35,"da","2017-03-01 11:05:23.523685","2018-08-29 11:31:28.103201","ES - Rioja"
33,33,"da","2017-03-01 11:05:23.475903","2018-08-29 11:31:49.572724","FR - Rhone"
457,457,"da","2018-01-06 12:46:46.390354","2018-08-29 11:33:39.234312","FR - Provence"
64,64,"da","2017-03-01 11:05:24.457613","2018-08-29 11:33:48.179296","IT - Piemonte"
26,26,"da","2017-03-01 11:05:23.320759","2018-08-29 11:54:06.328816","FR - Loire"
54,54,"da","2017-03-01 11:05:24.075874","2018-08-29 11:36:02.02542","DE - Pfalz"
57,57,"da","2017-03-01 11:05:24.134038","2018-08-29 11:36:16.818299","DE - Rheinhessen"
60,60,"da","2017-03-01 11:05:24.31187","2018-08-29 11:36:30.967357","DE - Rheingau"
493,493,"da","2018-04-20 14:11:42.044735","2018-08-29 11:38:20.651722","AT - Weinviertel"
514,514,"da","2018-08-17 13:21:58.747572","2018-08-29 11:44:19.618007","CL - Rapel Valley"
510,510,"da","2018-08-13 12:53:00.193922","2018-08-29 11:54:43.398114","AR - La Rioja"
417,417,"da","2017-11-28 10:00:10.84804","2018-08-29 11:57:08.285108","NZ - Martinborough"
431,431,"da","2017-12-04 10:15:58.825728","2018-08-29 11:57:15.934848","NZ - Marlborough"
501,501,"da","2018-07-13 11:11:26.266449","2018-08-29 11:58:31.602125","NZ - Hawke's Bay"
52,52,"da","2017-03-01 11:05:24.053273","2018-08-29 12:00:52.114318","PT - Douro"
2,2,"da","2017-03-01 11:05:22.613274","2018-08-29 12:10:50.242279","FR - Bordeaux"
409,409,"da","2017-11-16 18:32:19.414848","2018-08-29 12:14:38.636088","NZ - Central Otago"
524,524,"da","2018-08-29 12:32:19.267113","2018-08-29 12:32:19.267113","AR - Jujuy"
520,520,"da","2018-08-29 12:29:05.222909","2018-08-29 12:29:05.222909","AR - Cafayate"
521,521,"da","2018-08-29 12:29:31.925716","2018-08-29 12:29:31.925716","AR - Catamarca"
529,529,"da","2018-08-29 12:36:41.816187","2018-08-29 12:36:41.816187","AT - Kamptal"
530,530,"da","2018-08-29 12:36:47.637313","2018-08-29 12:36:47.637313","AT - Kremstal"
535,535,"da","2018-08-29 12:38:21.211389","2018-08-29 12:38:21.211389","AT - Traisental"
539,539,"da","2018-08-29 13:03:40.016436","2018-08-29 13:03:40.016436","AU - Northern Territory"
540,540,"da","2018-08-29 13:04:01.783616","2018-08-29 13:04:01.783616","AU - Queensland"
541,541,"da","2018-08-29 13:04:28.280216","2018-08-29 13:04:28.280216","AU - South Eastern Australia"
544,544,"da","2018-08-29 13:05:18.280165","2018-08-29 13:05:18.280165","AU - Western Australian"
552,552,"da","2018-08-29 13:44:00.018039","2018-08-29 13:44:00.018039","CA - New Brunswick"
553,553,"da","2018-08-29 13:44:23.102902","2018-08-29 13:44:23.102902","CA - Newfoundland and Labrador"
556,556,"da","2018-08-29 13:46:42.626563","2018-08-29 13:46:42.626563","CA - Saskatchewan"
560,560,"da","2018-08-29 13:52:27.6629","2018-08-29 13:52:27.6629","CL - Cachapoal Valley"
563,563,"da","2018-08-29 13:53:49.091944","2018-08-29 13:53:49.091944","CL - Central Valley"
564,564,"da","2018-08-29 13:54:09.192962","2018-08-29 13:54:09.192962","PT - Azores"
569,569,"da","2018-08-29 13:55:55.847774","2018-08-29 13:55:55.847774","CL - Elqui Valley"
505,505,"da","2018-08-08 10:29:40.815787","2018-08-29 13:56:12.543423","PT - Estremadura-Lisboa"
578,578,"da","2018-08-29 13:59:11.040226","2018-08-29 13:59:11.040226","CL - Maule Valley"
579,579,"da","2018-08-29 13:59:26.386707","2018-08-29 13:59:26.386707","CL - San Antonio Valley"
583,583,"da","2018-08-29 14:04:28.087673","2018-08-29 14:04:28.087673","NZ - Nelson"
586,586,"da","2018-08-29 14:04:41.090546","2018-08-29 14:04:41.090546","NZ - Waiheke Island"
592,592,"da","2018-08-29 14:09:31.261721","2018-08-29 14:09:31.261721","ES - Castilla La Mancha"
595,595,"da","2018-08-29 14:12:53.708755","2018-08-29 14:12:53.708755","IT - Calabria"
598,598,"da","2018-08-29 14:14:15.199765","2018-08-29 14:14:15.199765","ES - Pais Vasco"
599,599,"da","2018-08-29 14:14:27.315965","2018-08-29 14:14:27.315965","IT - Liguria"
600,600,"da","2018-08-29 14:15:02.15135","2018-08-29 14:15:02.15135","IT - Puglia"
602,602,"da","2018-08-29 14:15:39.288007","2018-08-29 14:15:39.288007","IT - Sardinia"
38,38,"da","2017-03-01 11:05:23.595529","2018-08-29 14:16:14.835378","IT - Tuscany"
