Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
8117,"Pinot Gris Grand Cru ""Hengst""",3226,,France,Alsace,White wine,a0F1X0000005aOrUAI
7825,Bonarda,1543,,Italy,Piemonte,Red wine,a0F1X0000005aZJUAY
7826,Cheverny-Louis de la Saussaye,1545,,France,Loire,Red wine,a0F1X0000005aR0UAI
7829,Désirade,2162,,France,Loire,White wine,a0F1X0000005aMfUAI
8119,"Corton Grand Cru ""Le Clos du Roi""",2385,,France,Burgundy,Red wine,a0F1X0000005aCjUAI
8120,"Chardonnay ""Santa Cruz Mountains""",3228,,United States,California,White wine,a0F1X0000005ai7UAA
8121,"Pinot Noir ""Dundee Hills""",3229,,United States,Oregon,Red wine,a0F1X0000005aq8UAA
8122,"Syrah ""Clary Ranch""",3230,,United States,California,Red wine,a0F1X0000005a9rUAA
8397,"Vintage Blanc de Blancs ""Fleur de Passion""",755,,France,Champagne,Sparkling wine,a0F1X0000005aOgUAI
7771,"Puligny-Montrachet 1er Cru ""Clos de la Mouchere""",452,,France,Burgundy,White wine,a0F1X0000005aaMUAQ
9974,Labégorce-Zédé,2973,,France,Bordeaux,Red wine,a0F1X0000005aIgUAI
7768,"Riesling Auslese ""Ölberg""",2047,,Germany,Rheinhessen,White wine,a0F1X0000005ad7UAA
7830,"Vintage ""Toulette""",2204,,France,Champagne,Sparkling wine,a0F1X0000005abCUAQ
7770,"Chablis Grand Cru ""Les Clos""",3104,,France,Burgundy,White wine,a0F1X0000005afwUAA
7774,"Vouvray Sec ""Clos du Bourg""",897,,France,Loire,White wine,a0F1X0000005aShUAI
6323,Unreadable Label,2632,,France,Bordeaux,Red wine,a0F1X0000005aqTUAQ
6331,Ruby Reserva Port,953,,Portugal,Douro,Port,a0F1X0000005alfUAA
7769,"Riesling Trocken GG ""Ungeheuer""",92,,Germany,Pfalz,White wine,a0F1X0000005areUAA
9569,"Gevrey-Chambertin ""Vieilles Vignes""",3639,,France,Burgundy,Red wine,a0F1X0000005aY6UAI
7772,Cuvée Victor,1945,,Germany,Nahe,White wine,a0F1X0000005aOiUAI
7827,Laderas de Sedella,1539,,Spain,Andalucia,Red wine,a0F1X0000005aoDUAQ
7767,"Grüner Veltliner Reserve ""Dechant""",3103,,Austria,Kamptal,White wine,a0F1X0000005aloUAA
7828,"Vino Bianco ""Egotista""",3118,,Italy,Piemonte,White wine,a0F1X0000005aA0UAI
7824,"Brut Nature ""l'Appétillant""",1639,,France,Loire,Sparkling wine,a0F1X0000005aerUAA
7765,"Chamery Blanc 1er Cru ""Les Rouleaux""",3102,,France,Champagne,White wine,a0F1X0000005aMXUAY
7766,"Chamery Blanc 1er Cru ""Luth""",3102,,France,Champagne,White wine,a0F1X0000005aMXUAY
7773,Ornithology,2428,,France,Vin de Pays,White wine,a0F1X0000005abnUAA
7775,"Vouvray Sec ""Le Mont""",897,,France,Loire,White wine,a0F1X0000005aShUAI
7776,"Chardonnay Reserve ""Dittelsheim""",3105,,Germany,Rheinhessen,White wine,a0F1X0000005asCUAQ
7777,"Riesling Auslese ""Mehringer Blattenberg""",914,,Germany,Mosel,White wine,a0F1X0000005aaHUAQ
