Id	Name	ProducerId	Appellation	Country	Region	WineType
6471	Saint-Joseph "Offerus"	1387		France	Rhone	Red wine
7056	Gevrey-Chambertin 1er Cru "Petite-Chapelle"	901		France	Burgundy	Red wine
10489	Brut "Noir Coteaux"	3980		France	Champagne	Sparkling wine
7376	Rioja Reserva "Selección Especial"	56		Spain	Rioja	Red wine
295	San Martino	146		Italy	Tuscany	Red wine
4670	Merlot	2098		Italy	Sicily	Red wine
9047	Barbera d'Alba "Vittoria"	3207		Italy	Piemonte	Red wine
2930	Chevalier-Montrachet Grand Cru	1168		France	Burgundy	White wine
7271	Barolo "La Mora"	2958		Italy	Piemonte	Red wine
7620	Pinot Noir "Bloom's Field"	3029		United States	California	Red wine
9382	Riesling Trocken "Kahlenberg"	1379		Germany	Nahe	White wine
8577	Vintage "Extra Quality Brut"	2692		France	Champagne	Sparkling wine
4138	Riesling Kabinett	1924		Germany	Mosel	White wine
6328	Nuits-Saint-Georges	2226		France	Burgundy	Red wine
2375	Barolo "Rocche dell' Annunziata"	1216		Italy	Piemonte	Red wine
4388	Faro	2003		Italy	Sicily	Red wine
1549	Volnay 1er Cru "En Champans"	818		France	Burgundy	Red wine
7766	Chamery Blanc 1er Cru "Luth"	3102		France	Champagne	White wine
4954	Trévallon Rouge	479		France	Rhone	Red wine
3924	Grenache "Domaine Clarendon - Old Vines Grenache"	1459		Australia	South Australia	Red wine
2731	Chateauneuf-du-Pape Blanc "Magis - Rotem & Mounir Saouma"	874		France	Rhone	White wine
1632	Tawny 40 Years Old Port	854		Portugal	Douro	Port
1417	Barolo "Gabutti"	766		Italy	Piemonte	Red wine
1569	Riesling Auslese "Ürziger Würzgarten"	830		Germany	Mosel	White wine
2046	Jurancon "Cuvée Lison"	1058		France	South West France	Sweet wine
9333	Meursault "Vieilles Vignes"	1682		France	Burgundy	White wine
4333	Rasteau	1982		France	Rhone	Red wine
9910	Selection Exclusive Rouge	3764		France	Vin de Pays	Red wine
3495	Chateauneuf-du-Pape	1669		France	Rhone	Red wine
9071	Ruby Vintage Port "Tribute to Eduard Rudolph van der Niepoort"	1165		Portugal	Douro	Port
3810	Pinot Noir "Selection"	1797		Austria	Burgenland	Red wine
9461	Pommard	370		France	Burgundy	Red wine
156	Vintage Grand Cru	67		France	Champagne	Sparkling wine
2371	Barolo "Cerretta"	1218		Italy	Piemonte	Red wine
9579	Chateauneuf-du-Pape Blanc	1082		France	Rhone	White wine
7340	Gevrey-Chambertin "Cuvée Vieilles Vignes"	1338		France	Burgundy	Red wine
387	Bin 707	187		Australia	South Australia	Red wine
9503	Nuits-St-Georges	3619		France	Burgundy	Red wine
8768	Léoville Las Cases	1702		France	Bordeaux	Red wine
1069	Marques de Rodil "Especial Palo Cortado"	655		Spain	Andalucia	Sweet wine
2176	Chateau de Cayx "Cuvée Octante"	237		France	South West France	Red wine
9098	Junayme	3486		France	Bordeaux	Red wine
7629	Chambolle-Musigny	2042		France	Burgundy	Red wine
504	Pommard 1er Cru "Les Rugiens"	293		France	Burgundy	Red wine
5307	Vintage 1er Cru "La Rose du Mesnil"	687		France	Champagne	Sparkling wine
8942	Vintage Blanc de Blancs Grand Cru "Cuvée Speciale"	425		France	Champagne	Sparkling wine
6393	Harlan Estate	2649		United States	California	Red wine
1980	Vin Jaune	2019		France	Jura	White wine
6264	Syrah "Piranha Waterdance"	2170		United States	California	Red wine
5119	Latour	201		France	Bordeaux	Red wine
4816	Brunello di Montalcino	1008		Italy	Tuscany	Red wine
5607	Vosne-Romanée "Aux Genevrieres"	443		France	Burgundy	Red wine
7446	Chassagne-Montrachet 1er Cru Blanc "La Boudriotte"	1231		France	Burgundy	White wine
2915	Cote de Val Vilaine	1425		France	Champagne	Sparkling wine
5726	Meursault "Tesson - Clos de mon Plaisir"	2041		France	Burgundy	White wine
740	Blaufränkisch "Lutzmanns Burg - Alte Reben"	435		Austria	Burgenland	Red wine
9974	Labégorce-Zédé	2973		France	Bordeaux	Red wine
7550	Barolo Riserva "Riva Rocca"	1801		Italy	Piemonte	Red wine
9064	Tawny Port "VV"	1165		Portugal	Douro	Port
4389	Nzemmula	2004		Italy	Sicily	Red wine
9460	Volnay	370		France	Burgundy	Red wine
2662	Volnay 1er Cru "Clos des Chênes"	1331		France	Burgundy	Red wine
3759	Zinfandel "Platinum Collection"	1773		Italy	Puglia	Red wine
10419	Cabernet	3951		Greece	Crete	Red wine
9642	Terre de Pierre	1192		France	Loire	White wine
2772	Vintage Grand Cru "Cuvée Prestige"	761		France	Champagne	Sparkling wine
4011	Chambolle Musigny	1043		France	Burgundy	Red wine
4558	Pinot Noir "North"	1626		United States	California	Red wine
4471	Vosne-Romanée "Aux Réas"	2042		France	Burgundy	Red wine
2336	Vosne-Romanée 1er Cru "Les Suchots"	1199		France	Burgundy	Red wine
8615	Dalem	3355		France	Bordeaux	Red wine
2086	Tertre	1074		France	Bordeaux	Red wine
6018	Vintage Grand Cru "Ambonnay"	2529		France	Champagne	Sparkling wine
9560	Mercurey	3636		France	Burgundy	White wine
934	Dogliani Superiore "Vigna Dei Prey"	534		Italy	Piemonte	Red wine
5327	Brunello di Montacino	2303		Italy	Tuscany	Red wine
2448	La Lune	1274		France	Vin de France	White wine
3003	Missing Virgin	1461		South Africa	Western Cape	Red wine
